name;density;spg;volume;SiOSi_average;SiOSi_gmean;SiOSi_hmean;SiOSi_max;SiOSi_mean;SiOSi_min;SiOSi_skew;SiOSi_std;SiOSi_var;SiO_average;SiO_gmean;SiO_hmean;SiO_max;SiO_mean;SiO_min;SiO_skew;SiO_std;SiO_var;ASA;AV;NASA;NAV;VolFrac;largest_free_sphere;largest_included_sphere;largest_included_sphere_free;max_dim;min_dim;mode_dim
9000328;2.421246754;1;13.73566816;146.5933232;145.6448736;144.6908875;176.8543785;146.5933232;119.661488;-0.006086104;16.59524828;275.4022653;1.605944887;1.605873969;1.60580314;1.634522818;1.605944887;1.579378538;0.218523121;0.015101944;0.000228069;0;0;0;0;0;1.5044;2.50236;2.42672;0;0;[0]
9000329;2.430914754;1;13.68103998;148.2604812;147.6423561;147.0287056;169.0565648;148.2604812;127.067512;0.147968908;13.56553806;184.0238228;1.603934711;1.603846314;1.603758371;1.637672518;1.603934711;1.582962239;0.742709146;0.016882588;0.000285022;0;0;0;0;0;0.59241;2.598;2.598;0;0;[0]
9000330;2.37289675;1;14.01554532;144.1327159;143.4210584;142.7058885;167.2280531;144.1327159;120.40518;-0.021719058;14.26454743;203.4773132;1.607643302;1.607555186;1.607468305;1.65120284;1.607643302;1.595711802;2.026630318;0.016950854;0.000287331;0;0;0;0.001003;0;1.3338;3.2226;3.2226;0;0;[0]
9000331;2.761699464;1;12.04238274;141.2745844;140.5928691;139.9293185;166.4797329;141.2745844;120.3675359;0.48508848;14.05071732;197.4226572;1.607965284;1.607959395;1.607953507;1.613901486;1.607965284;1.602440468;-0.016883328;0.004351451;1.89E-05;0;0;0;0;0;0.58566;1.3925;1.3925;0;0;[0]
9000332;2.521181515;1;13.19121283;140.266797;139.9024783;139.5538817;168.2132501;140.266797;127.1374418;1.065312019;10.33966017;106.9085725;1.602050259;1.601956337;1.601862118;1.625797306;1.602050259;1.570586394;-0.431043894;0.017319823;0.000299976;0;0;0;0;0;0.70967;2.65686;2.65686;0;0;[0]
9000333;2.400963137;1;13.85170869;147.9538741;147.0517279;146.1522678;171.718214;147.9538741;125.5617025;0.019017516;16.30666194;265.9072236;1.597720312;1.597663521;1.597606659;1.614278085;1.597720312;1.575993741;-0.221126657;0.013462532;0.00018124;0;0;0;0;0;1.66371;2.38492;2.38492;0;0;[0]
9000334;2.263942124;1;14.69005837;144.8255467;144.5077851;144.2034485;167.3418882;144.8255467;132.8479289;1.040008611;9.79928084;96.02590497;1.599237607;1.599179912;1.599122023;1.618529654;1.599237607;1.575999528;-0.587309469;0.013561508;0.000183915;0;0;0;0.000229689;0;1.35555;2.99266;2.99266;0;0;[0]
9000335;2.697505044;1;12.32896377;143.8922818;143.215614;142.5617263;175.1237565;143.8922818;125.7271698;0.609182339;14.18015306;201.0767407;1.611528735;1.611480212;1.611431706;1.630767423;1.611528735;1.594714522;0.06935318;0.012507725;0.000156443;0;0;0;0;0;0.56975;1.57153;1.28438;0;0;[0]
9000336;2.177901404;1;15.2704075;147.0723785;146.5722325;146.0688721;170.6917527;147.0723785;123.5295498;-0.013595578;12.08685538;146.0920729;1.604535874;1.604468751;1.604401356;1.621271188;1.604535874;1.57858003;-0.661637251;0.014646579;0.000214522;0;0.00356308;0;0;0.00776;3.06403;3.57123;3.49632;1;1;[1]
9000337;2.226463754;1;14.93733814;145.6753778;145.1838879;144.6966698;167.5149253;145.6753778;125.7691168;0.264560914;12.01591911;144.382312;1.615955743;1.615950126;1.615944518;1.624255895;1.615955743;1.611427544;0.973207769;0.004264486;1.82E-05;0;0;0;0;0;1.83618;2.44378;2.44378;0;0;[0]
9000338;2.544906588;1;13.06823681;145.380098;144.8482177;144.3120727;165.6347985;145.380098;120.3501294;-0.029468093;12.38365767;153.3549772;1.605123315;1.605028618;1.604934189;1.631784634;1.605123315;1.583813863;0.391159569;0.017459824;0.000304845;0;0;0;0;0;0.89617;2.42873;2.42873;0;0;[0]
9000339;2.460949601;1;13.51406869;143.9601825;143.5137522;143.0687463;161.8467145;143.9601825;126.5771105;0.071096177;11.3394147;128.5823256;1.62339767;1.623350734;1.623303845;1.64114236;1.62339767;1.606745584;0.200744365;0.012350755;0.000152541;0;0;0;0;0;1.29591;2.61998;2.61998;0;0;[0]
9000340;2.633504574;1;12.62858712;146.2223999;145.3823962;144.5592345;172.3076759;146.2223999;124.4051957;0.275124081;15.7853204;249.17634;1.610264517;1.61012102;1.609977377;1.639549249;1.610264517;1.576733101;-0.114631317;0.021485454;0.000461625;0;0;0;0;0;0.50392;2.42457;2.28321;0;0;[0]
9000341;2.30202151;1;14.4470596;141.9110828;141.3834992;140.8753977;168.9462333;141.9110828;123.6022193;0.752498445;12.46378304;155.3458877;1.605870327;1.605794492;1.605718186;1.622293505;1.605870327;1.573830228;-0.947184927;0.015558254;0.000242059;0;0;0;0.000112945;0;2.2918;2.89103;2.89103;0;0;[0]
9000342;2.455504444;1;13.54403655;143.9051043;143.1497818;142.4422567;175.0957312;143.9051043;125.2540663;1.03017145;15.21415852;231.4706193;1.603487086;1.603442506;1.603397946;1.621268243;1.603487086;1.584995528;0.097031245;0.011959639;0.000143033;0;0;0;0;0;0.99972;2.21213;2.21213;0;0;[0]
9000343;2.537544706;1;13.10615016;141.5117371;141.0625017;140.6213219;170.4005708;141.5117371;123.0215587;0.530993268;11.38825584;129.6923711;1.613845504;1.613742145;1.613639182;1.646573129;1.613845504;1.586304125;0.517908844;0.018299817;0.000334883;0;0;0;0;0;0.78525;2.58314;2.58314;0;0;[0]
9000344;2.034425894;5;16.34733516;148.4497306;148.0301644;147.6152292;168.8826922;148.4497306;128.8056029;0.307644831;11.21954813;125.8782604;1.600956492;1.600944186;1.600931863;1.608486369;1.600956492;1.591054061;-0.546755878;0.00627261;3.93E-05;0;0;0;0.003952;0;2.48635;3.54705;3.54705;0;0;[0]
9000345;2.416452015;1;13.76292256;145.7998799;145.2643868;144.7313457;169.89783;145.7998799;126.8522615;0.143671917;12.5128795;156.5721535;1.599188771;1.599177504;1.599166216;1.608252578;1.599188771;1.586539321;-0.709452731;0.005997762;3.60E-05;0;0;0;0;0;0.84305;2.38655;2.38655;0;0;[0]
9000346;2.60371381;1;12.7730789;137.8029256;137.3117504;136.8468771;162.4017926;137.8029256;123.2414343;1.012154596;11.94449416;142.6709408;1.59641519;1.596315211;1.596215733;1.633612529;1.59641519;1.569762531;0.691056894;0.017911552;0.000320824;0;0;0;0;0;0.85913;1.77922;1.75039;0;0;[0]
